Designator,Footprint,Quantity,Value,LCSC Part #
BSW1,SW_TS04-66-50-BK-260-SMT,1,BOOT,
BSW2,SW_TS04-66-50-BK-260-SMT,1,RESETSW,
"C1, C11, C12, C15, C16, C18, C19, C20, C21, C22, C23, C24, C25, C3, C4, C5, C6, C7, C9",0603,19,0.1uF,
"C10, C13, C8",1206,3,4.7uF,
"C14, C17",0805,2,1uF,
C2,0805,1,10uF,
"C26, C27",0603,2,18pF,
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,16,1N4148W,
FB1,0603,1,120,
J1,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Socket,
"J2, J3",3210W1BCE,2,USB_A_v2,
"J4, J5",CONN_8p94X6p5X3p16_12L_GCC,2,USB_C_Receptacle_USB2.0_16P_V2,
OL1,128x64OLED,1,OLED,
"R1, R2",0603,2,5.1k,
"R10, R11",0603,2,2.2k,
"R3, R4",0603,2,56k,
"R5, R6",0603,2,27,
R7,0603,1,DNF,
R8,0603,1,1k,
R9,0603,1,10k,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",CherryMX_Hotswap_via_1U,16,SW_PUSH,
U1,SO16,1,SL2.1A,
U2,SOT-223-3_TabPin2,1,AZ1117-3.3,
U3,RP2040-QFN-56,1,RP2040,
U4,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q16JVSS,
"Y1, Y2",Crystal_SMD_3225-4Pin_3.2x2.5mm,2,12MHz,
